Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HORVU.MOREX.r3.1HG0002160,505.68646190991257,-0.491434380800609,0.444741904399068,-1.1049878051510158,0.26916487330394123,0.6189162579327829
HORVU.MOREX.r3.1HG0002170,35.881571851804836,0.8010056720758472,1.2962369654529406,0.6179469444431048,0.5366103125364536,0.8327586614679885
HORVU.MOREX.r3.1HG0002180,72.91421997508711,0.38484296919607697,0.9226633128539034,0.41710010990435237,0.6766051845448933,0.9017293377885516
HORVU.MOREX.r3.1HG0002280,4.01215898395396,4.839337068396981,4.981040230626537,0.9715514921244208,0.33127372459025395,
HORVU.MOREX.r3.1HG0002320,442.59238599965664,0.8815521549579676,0.48120595948334743,1.8319643337427838,0.06695673455484696,0.2631039143852816
HORVU.MOREX.r3.1HG0002330,1076.4422269363342,0.27325724820243463,0.36623884086943365,0.7461176088088715,0.45559637307588763,0.7816370584995621
HORVU.MOREX.r3.1HG0002340,268.7078163715808,-0.4900264692278757,0.5405492913644,-0.9065342921660304,0.3646531227192463,0.7116761633637796
HORVU.MOREX.r3.1HG0002350,3792.2910723941823,-0.6964340661550072,0.31616333038070665,-2.2027667323607685,0.02761119407062726,0.14111262241844733
HORVU.MOREX.r3.1HG0002410,6.922143636102576,0.8263120580533464,3.2329961010489816,0.2555870877126144,0.7982696898307989,
HORVU.MOREX.r3.1HG0002450,78.60127316846855,-2.482267407842484,0.9537243019958943,-2.602709611832005,0.009249025668799366,0.060950203855274054
HORVU.MOREX.r3.1HG0002470,33.34420232398691,-0.2758020994546182,1.3308157929201714,-0.20724288133779464,0.8358201797203193,0.9576461568275042
HORVU.MOREX.r3.1HG0002500,15.691515581489805,6.806211377505115,3.927759392771349,1.7328483486109845,0.08312262678878833,0.30450358151999796
HORVU.MOREX.r3.1HG0002510,4022.468861061128,0.007366333245403012,0.30929750361507324,0.023816335920287795,0.9809991095653443,0.9960180509754577
HORVU.MOREX.r3.1HG0002560,205.6118687365581,0.3116285075130985,0.6015774271777077,0.5180189505698367,0.6044450474149086,0.8669057131765477
HORVU.MOREX.r3.1HG0002590,277.2512031632479,-0.33088714694410143,0.5352621180315447,-0.6181777783209408,0.5364581565208397,0.8327409169400216
HORVU.MOREX.r3.1HG0002640,3.128594733441494,4.479802089486903,5.37273143105862,0.8338034660713018,0.4043917418511571,
HORVU.MOREX.r3.1HG0002660,617.7732061138101,-0.0731206468366212,0.4191931829214485,-0.17443186057327434,0.8615260770006312,0.965584051963956
HORVU.MOREX.r3.1HG0002670,9.377924105360485,0.05625143198930509,2.510733522360698,0.022404381623269645,0.9821253852002653,
HORVU.MOREX.r3.1HG0002830,7.626875819653308,-0.10503530129290703,2.6158994893898586,-0.04015265178151238,0.967971425566555,
HORVU.MOREX.r3.1HG0002840,29.128585094700025,-2.980989469242491,1.4328705091389036,-2.0804318675202156,0.037485938838552946,0.17577581646181167
HORVU.MOREX.r3.1HG0002860,35.99636723447957,4.5315837594636195,1.6102613124742617,2.8141915379563915,0.004890008252774335,0.03663012905439923
HORVU.MOREX.r3.1HG0002870,558.1077492425603,-0.5490577490629482,0.4279127500667102,-1.2831067758026653,0.1994546702317822,0.5265147588044575
HORVU.MOREX.r3.1HG0002880,3723.9842305918123,-0.37212926205609576,0.31872763629414685,-1.1675462673486703,0.24298983510253302,0.5863191054336604
HORVU.MOREX.r3.1HG0002890,404.6784388703084,-0.22612733541305544,0.5015715239604964,-0.45083766643591416,0.6521065518001339,0.8907676028417213
HORVU.MOREX.r3.1HG0003080,44.68118122902567,-4.915564937199046,1.2427529282930339,-3.9553839104211583,7.641184629851432e-05,0.0010382071344233914
